id,title,nid,vid,path,umschrift
af53652a-d0a1-4ebd-bd98-410d2e511188,"Freud, Sigmund : Mein unbewußtes Jüdischsein",24177,29192,/werke/freud-sigmund/mein-unbewusstes-judischsein,
81f1a9b1-a3b8-4aac-a01c-b8b699b12c09,"Freud, Sigmund  (1931-003; 1931c): Geleitwort [zu: Weiss, Edoardo ›Elementi die Psicoanalisi‹]",15429,56934,/werke/freud-sigmund/geleitwort-zu-weiss-edoardo-elementi-die-psicoanalisi,
c1bed1f4-fc50-4665-aea9-4d455a7bea5e,"Freud, Sigmund  (1934-003; 1934c [1933]): Introductory Note [zu: Sachs, Wulff ›Psychoanalysis. Its Meaning and Practical Applications‹]",15454,56949,/werke/freud-sigmund/introductory-note-zu-sachs-wulff-psychoanalysis-its-meaning-and-practical,
e5c36cf3-76b5-419c-be2f-7372ba2bd203,"Freud, Sigmund  (1875-101; 1967e [1875]): Hochzeitscarmen von einem Homeriden der Ac. Esp.",48304,61442,/werke/freud-sigmund/hochzeitscarmen-von-einem-homeriden-der-ac-esp,
a825f05d-3251-4ed4-9d3d-cd35e1d810f6,"Freud, Sigmund  (1897-104; 1993cc [o.J.]): Eine Quelle des Antisemitismus [Aus älteren Aufzeichnungen]",24545,62261,/werke/freud-sigmund/eine-quelle-des-antisemitismus-aus-alteren-aufzeichnungen,
e44e3ccd-2a77-4547-aa15-552e60fcaa88,"Freud, Sigmund  (1899-141; 1989c [1889]): Einweisungsschreiben [""Mathilde""]",24547,62270,/werke/freud-sigmund/einweisungsschreiben-mathilde,
bc6a235a-cd2c-4216-b74d-5b96480bcdd5,"Freud, Sigmund  (1901-101; 1993dd [1901, o.J.]): Notizen [zur Kunst]",24189,62289,/werke/freud-sigmund/notizen-zur-kunst,
04f5ede6-1e12-4529-84b0-f0c8a2c4d6b2,"Freud, Sigmund  (1905-141; 1996f [1905]): Zeugnis für Alfred Adler [September 1905]",24255,63053,/werke/freud-sigmund/zeugnis-fur-alfred-adler-september-1905,
f1967131-b957-423a-b04b-960cf7597825,"Freud, Sigmund  (1923-213; 1923l): Interview: New York American, 26.8.1923 [How Freud unveals the subconscious mind]",15384,63107,/interview-new-york-american-2681923,
881eb742-54bd-4af2-a418-020b2b1e5ffd,"Freud, Sigmund  (1925-009; 1925i): Einige Nachträge zum Ganzen der Traumdeutung",15402,63122,/einige-nachtraege-ganzen-traumdeutung,
62ace84b-66ed-4162-ba8b-6f44ba0a789f,"Freud, Sigmund  (1930-131; 1978j [1928-30]): Diskussionsbemerkungen [in: Sitzungen der Wiener Psychoanalytischen Vereinigung 1928-1930, berichtet von Richard Sterba]",24250,63176,/werke/freud-sigmund/diskussionsbemerkungen-sitzungen-der-wiener-psychoanalytischen-vereinigung-1928,
e235d90f-b55c-47f4-b6c8-91ef3cb42972,"Freud, Sigmund  (1932-002; 1932b [1931]): Geleitwort [zu: Nunberg, Hermann ›Allgemeine Neurosenlehre auf psychoanalytischer Grundlage‹]",15436,63191,/werke/freud-sigmund/geleitwort-zu-nunberg-hermann-allgemeine-neurosenlehre-auf-psychoanalytischer,
91fbd42c-ae95-4499-84a5-da2e5dfd7937,"Freud, Sigmund  (1932-003; 1932c): Meine Berührung mit Josef Popper-Lynkeus",15437,63193,/werke/freud-sigmund/meine-beruhrung-mit-josef-popper-lynkeus,
0f4fe65a-0914-4340-81fb-5ef504e99087,"Freud, Sigmund  (1932-101; 1976q [1932]): Vorbemerkung des Herausgebers [von Freud nicht publiziert, zu: Reich, Wilhelm ›Der masochistische Charakter‹]",24248,63196,/werke/freud-sigmund/vorbemerkung-des-herausgebers-von-freud-nicht-publiziert-zu-reich-wilhelm-der,
93d64f2f-c5ae-4782-a0ec-281b1358567b,"Freud, Sigmund  (1938-301; 1990q [1938]): Testament",24550,63224,/werke/freud-sigmund/testament,
d10511cb-bdef-47d5-91d7-250ec79c766a,"Freud, Sigmund  (1908-007; 1908g): Anzeige der Schriften zur angewandten Seelenkunde",15260,63639,/werke/freud-sigmund/anzeige-der-schriften-zur-angewandten-seelenkunde-0,
d7dd6f6a-1e95-4cee-9e63-a05d01db9363,"Freud, Sigmund  (1876-151; 1955d (1876]):  Gesuch für ein Reisestipendium nach Triest 1876 ",24199,63871,/werke/freud-sigmund/gesuch-fur-ein-reisestipendium-nach-triest-1876,
563d8ff4-d186-4e41-8971-ed06494c1331,"Freud, Sigmund  (1883-111; 1969e [1883]):  Krankenbericht über einen an chronischem Alkoholismus mit Delirium tremens leidenden Tagelöhner",49143,63872,/werke/freud-sigmund/krankenbericht-uber-einen-chronischem-alkoholismus-mit-delirium-tremens,
750ea7cf-bda2-407c-a5f8-e297841eab82,"Freud, Sigmund  (1883-112; 1989b [1883]): Fünfundvierzig Krankengeschichten",24549,63873,/werke/freud-sigmund/funfundvierzig-krankengeschichten,
b95fca78-9cfb-4ae1-8683-1c32a5d9e895,"Freud, Sigmund  (1891-112; 1978a [1891]): [Anamnes ›Nina R‹]",49145,63887,/werke/freud-sigmund/anamnes-nina-r,
77b84650-55b9-401c-b84a-379512e29eae,"Freud, Sigmund  (1893-034; 1893p): Beitrag zu: Rosenthal, Emil ›Les diplégies cérébrales de l’infance‹",15177,63902,/werke/freud-sigmund/beitrag-zu-rosenthal-emil-les-diplegies-cerebrales-de-linfance,
4d7a979e-ddc5-4ea3-8d59-5e2ba3cfa5cb,"Freud, Sigmund  (1938-001; 1938a): Ein Wort zum Antisemitismus",15472,63925,/ein-wort-antisemitismus,
